Producto,PrecioMín,PrecioMáx,URL,Categoría
Frasco Navideño Diferentes Tamaños,700,850,https://reachem.cl/producto/frasco-tipo-navideno-diferentes-tamanos/,Envases
Frasco PET Acinturado Rosado 120cc con Atomizador Blanco/Plata,700,,https://reachem.cl/producto/frasco-pet-aconturado-rosado-con-atomizador-120-cc/,Envases
Pote PVC transparente con tapa blanca de 250 gr,730,,https://reachem.cl/producto/pote-pvc-transparente-tapa-blanca-250-gr/,Envases
Delineador transparente tapa negra 10cc,750,,https://reachem.cl/producto/delineador-transparente-tapa-negra-10cc/,Envases
Bidón pera HDPE 5 lt,750,,https://reachem.cl/producto/bidon-pera-hdpe-5-lt/,Envases
Frasco PET triangular azul 24/410 con atomizador 200 cc,750,,https://reachem.cl/producto/frasco-pet-triangular-azul-24-410-con-atomizador-200-cc/,Envases
Frasco Esmalte de Vidrio Tipo 666 con Tapa Plateada Corazón 10cc,750,,https://reachem.cl/producto/frasco-esmalte-tipo-666-10-cc-con-tapa-plateada-corazon/,Envases
Botella de Vidrio Boston con Tapa Negra,750,980,https://reachem.cl/producto/botella-de-vidrio-ambar-boston-con-tapa-250-cc/,Envases
Frasco de vidrio transparente roll on piedras naturales,750,850,https://reachem.cl/producto/frasco-de-vidrio-transparente-roll-on-piedras-naturales/,Envases
Frasco vidrio ámbar cuello cónico 100 cc diferentes tapas,750,1000,https://reachem.cl/producto/frasco-vidrio-ambar-cuello-conico-100-cc-diferentes-tapas/,Envases
Frasco Cúbico PET Azul 100cc 20/410 con Atomizador Negro y Detalle en Aluminio Plata,790,,https://reachem.cl/producto/frasco-cubico-azul-transparente-100cc-con-atomizador-de-aluminio-plata-negro/,Envases
Botella de vidrio celeste base redonda 500cc,800,,https://reachem.cl/producto/botella-de-vidrio-transparente-base-redonda-500cc/,Envases
Frasco de Máscara para Pestañas con Pincel Rímel,800,,https://reachem.cl/producto/frasco-mascara-pestanas/,Envases
"Tapón de goma cónico sólido rojo # 6 (13×15,5-20)",800,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-6-13x155-20/,Envases
Botella de vidrio verde cilíndrica,800,1300,https://reachem.cl/producto/botella-de-vidrio-verde-cilindrica/,Envases
Frasco Gotario Base Redonda Blanco 30cc con Pipeta de Aluminio Rosada 18/410,800,,https://reachem.cl/producto/frasco-gotario-base-redonda-blanco-30cc-con-pipeta-de-aluminio-rosada-18-410/,Envases
