Producto,PrecioMín,PrecioMáx,URL
Frasco de Vidrio Base Cuadrada T692 13/410,340,400,https://reachem.cl/producto/frasco-vidrio-base-cuadrada-t692-13-410-20-cc/
Botella Anillada PET con Tapa Verde 1 lt,350,,https://reachem.cl/producto/botella-pet-1lt/
Frasco LDPE color natural base ovalada con tapa natural 60 cc,350,,https://reachem.cl/producto/frasco-ldpe-color-natural-base-ovalada-con-tapa-natural-60-cc/
Bolsa sachet transparente tapa con sello de seguridad 50gr (squeeze),350,,https://reachem.cl/producto/bolsa-sachet-transparente-tapa-con-sello-de-seguridad-50gr/
Frasco PET Biselado Transparente con Tapa Flip Top 20cc,350,,https://reachem.cl/producto/frasco-pet-biselado-transparente-tapa-flip-top-20cc/
Frasco Plástico PET Ámbar con Tapa Verde o Blanca – 100 ml y 200 ml,350,400,https://reachem.cl/producto/frasco-plastico-pet-ambar-con-tapa-verde/
Frasco con corcho tipo penicilina diferentes tamaños,360,550,https://reachem.cl/producto/frasco-con-corcho-tipo-penicilina/
Frasco Perfumero Lápiz de Color – 10 ml,360,,https://reachem.cl/producto/frasco-perfumero-lapiz-de-color-10-ml/
Frasco campana con tapa PET 30cc,380,,https://reachem.cl/producto/frasco-campana-tapa-pet-30cc/
Frasco PET cónico diferentes tamaños y tapas,390,1000,https://reachem.cl/producto/frasco-pet-conico-diferentes-tamanos-y-tapas/
Frasco Jabonera Tipo Lesancy 340cc,400,,https://reachem.cl/producto/frasco-jabonera-tipo-lesancy-340cc/
Frasco LDPE Cilíndrico con Tapa Flip Top Roja 70 ml,400,,https://reachem.cl/producto/frasco-ldpe-cilindrico-con-tapa-flip-top-roja-70-ml/
Frasco plástico HDPE base ovalada 20/410 con tapa flip top 140 cc,400,,https://reachem.cl/producto/frasco-plastico-hdpe-base-ovalada-20-410-con-tapa-flip-top-140-cc/
Pomo Rígido invertido diferentes tamaños,400,600,https://reachem.cl/producto/pomo-rigido-invertido/
Frasco Gotario Redondo de Vidrio con Pipeta,440,750,https://reachem.cl/producto/frasco-gotario-redondo-de-vidrio-con-pipeta/
Frasco gotario base redonda de vidrio con tapa antirotacional (gotario alemán),440,650,https://reachem.cl/producto/frasco-gotario-base-redonda-de-vidrio-con-tapa-antirotacional-gotario-aleman/
Frasco PET Ámbar Tubular 18/410 30cc,450,,https://reachem.cl/producto/frasco-pet-ambar-tubular-30cc/
Frasco conservero 28gr transparente,450,,https://reachem.cl/producto/frasco-conservero-28gr-transparente/
Frasco gotario PET azul base cuadrada 35 cc,450,,https://reachem.cl/producto/frasco-gotario-pet-azul-base-cuadrada-35-cc/
Pote plástico blanco 10 gr,450,,https://reachem.cl/producto/pote-plastico-blanco-10-gr/
Frasco gotario PET ámbar,450,550,https://reachem.cl/producto/frasco-gotario-pet-ambar/
Frasco gotario de vidrio base cuadrada con pipeta dorada,490,710,https://reachem.cl/producto/frasco-gotario-de-vidrio-ambar-base-cuadrada-con-pipeta-dorada/
Frasco de vidrio transparente petaca con tapa o bomba,490,950,https://reachem.cl/producto/frasco-de-vidrio-transparente-petaca-con-tapa-o-bomba/
"Frasco PET base circular, ovalada o cuadrada 24/415 250cc tapa flip top",500,,https://reachem.cl/producto/frasco-pet-base-ovalada-transparente-250cc/
Frasco vidrio transparente base cuadrada 13/410 de 20cc con tapón corcho,500,,https://reachem.cl/producto/frasco-vidrio-transparente-base-cuadrada-20cc/
Frasco plástico PET cilíndrico con tapa rosca 60 cc,500,,https://reachem.cl/producto/frasco-plastico-pet-cilindrico-con-tapa-rosca-60-cc/
Frasco PET transparente base ovalada con tapa rosca naranja 50 cc,500,,https://reachem.cl/producto/frasco-ldpe-color-natural-tubular-con-tapa-rosca-naranja-50-cc/
Frasco LDPE color natural acinturado base ovalado tapa flip top roja 100 ml,500,,https://reachem.cl/producto/frasco-ldpe-color-natural-acinturado-base-ovalado-tapa-flip-top-roja-100-ml/
Frasco gotario vidrio de color cuello cónico,500,550,https://reachem.cl/producto/frasco-gotario-vidrio-de-color-cuello-conico/
Frasco cónico PET 100 cc diferentes colores y con tapa,500,,https://reachem.cl/producto/frasco-conico-pet-100-cc-diferentes-colores-y-con-tapa/
Pote tableta PET ámbar 250cgr,550,,https://reachem.cl/producto/pote-tableta-pet-ambar-250gr/
Frasco conservero 200gr transparente,550,,https://reachem.cl/producto/frasco-conservero-200gr-transparente/
Frasco PET Base Ovalada con Tapa Flip Top 50 y 60cc,550,600,https://reachem.cl/producto/frasco-pet-base-ovalada-con-tapa-flip-top-60-cc/
Pote de Vidrio Ámbar para Tabletas,550,800,https://reachem.cl/producto/pote-de-vidrio-ambar-para-tabletas-500-gr/
Frasco Gotario de Vidrio Diferentes Colores con Base Redonda y Atomizador Blanco,550,750,https://reachem.cl/producto/frasco-gotario-de-vidrio-base-redonda-con-atomizador-blanco/
"Frasco Roll On vidrio ámbar, ámbar satinado y transparente tapa negra y bola de acero",550,700,https://reachem.cl/producto/frasco-roll-on-vidrio-ambar-tapa-negra/
Frasco Conservero Mielero con Tapa Blanca – Diferentes Tamaños,550,1200,https://reachem.cl/producto/frasco-conservero-mielero-diferentes-tamanos-tapa-blanca/
Frasco vidrio acinturado base cuadrada alto 18/410 23cc,550,600,https://reachem.cl/producto/frasco-vidrio-acinturado-base-cuadrada-alto-18-410-23-cc/
Frasco vidrio ámbar tipo penicilina,550,750,https://reachem.cl/producto/frasco-vidrio-ambar-tipo-penicilina/
Frasco gotario ámbar graduado,580,650,https://reachem.cl/producto/frasco-gotario-ambar-graduado/
Frasco Gotario de Vidrio Transparente Calavera 30cc,600,,https://reachem.cl/producto/frasco-transparente-calavera-30cc/
Pote doble fondo polipropileno 50gr,600,,https://reachem.cl/producto/pote-doble-fondo-polipropileno-50gr/
Atomizador nasal blanco con frasco acinturado base redonda 20 ml 18/410,600,,https://reachem.cl/producto/atomizador-nasal-blanco-frasco-18410/
Frasco LDPE plástico base ovalada tapa lenteja 60 cc,600,,https://reachem.cl/producto/frasco-ldpe-plastico-base-ovalada-tapa-lenteja-60-cc/
Frasco de Vidrio Daniela con Bomba o Atomizador,600,1000,https://reachem.cl/producto/frasco-de-vidrio-ambar-daniela/
Frasco Vidrio Tubular Armado 30 cc,600,,https://reachem.cl/producto/frasco-vidrio-tubular-armado-30-cc/
Frasco farmacéutico de vidrio ámbar 28/410 con tapa,630,800,https://reachem.cl/producto/frasco-farmaceutico-de-vidrio-ambar-28-410-con-tapa/
Frasco PET azul acinturado con atomizador plástico transparente 90 cc,650,,https://reachem.cl/producto/frasco-pet-azul-acinturado-con-atomizador-plastico-transparente-90-cc/
Frasco Esmalte de Vidrio Forma Corazón 6cc,650,,https://reachem.cl/producto/frasco-esmalte-vidrio-534-forma-corazon-6-cc/
Botella de Vidrio Base Cuadrada,650,1100,https://reachem.cl/producto/botella-de-vidrio-transparente-base-cuadrada-500-cc/
Frasco PET base cuadrada transparente 20/410 atomizador transparente 60 cc,650,,https://reachem.cl/producto/frasco-pet-base-cuadrada-transparente-20-410-atomizador-transparente-60-cc/
Frasco Conservero Transparente con Tapa Dorada o Blanca,650,890,https://reachem.cl/producto/frasco-conservero-260-gr-transparente-y-tapa-blanca/
Frasco conservero 195 gr transparente hexagonal,650,,https://reachem.cl/producto/frasco-conservero-195-gr-transparente-hexagonal/
Frasco PET Tubular de 100 CC con Tapa Cantimplora,650,,https://reachem.cl/producto/frasco-pet-tubular-ambar-de-100-cc-con-tapa-cantimplora/
Frasco PET Tubular 20/410 100cc con Bomba Plana,650,700,https://reachem.cl/producto/frasco-pet-tubular-azul-100-cc-20-410-con-bomba-plana-transparente/
Frasco Gotario Flor – Tamaños 20 y 30 cc,650,770,https://reachem.cl/producto/frasco-gotario-flor-diferentes-tamanos/
Frasco PET Tubular 20/410 100cc con Atomizador,650,,https://reachem.cl/producto/frasco-pet-tubular-20-410-100cc-con-atomizador/
Frasco de vidrio loto transparente y satinado diferentes tamaños y tapas,680,850,https://reachem.cl/producto/frasco-de-vidrio-loto-transparente-y-satinado-diferentes-tamanos-y-tapas/
Frasco vidrio base rectangular una cara catedral 18/410 con atomizador,680,800,https://reachem.cl/producto/frasco-vidrio-base-rectangular-una-cara-catedral-18-410-atomizador/
Frasco de Vidrio con Tapa de Madera Difusor – 5cc,700,,https://reachem.cl/producto/frasco-vidrio-tapa-madera-difusor/
Frasco esmalte vidrio manzana 878A de 10 cc con pincel,700,,https://reachem.cl/producto/frasco-esmalte-vidrio-manzana-878a-de-10-cc-con-pincel/
Frasco Esmalte Alargado Tipo 990 de 15cc con Pincel,700,,https://reachem.cl/producto/frasco-esmalte-alargado-tipo-990-de-15-cc-incluye-pincel/
Pote Vidrio Satinado o Transparente con Tapa Bamboo Plástico 50g,700,790,https://reachem.cl/producto/pote-recto-vidrio-tapa-bamboo-50gr/
Frasco PET ámbar petaca con diferentes tapas de 250 cc,700,850,https://reachem.cl/producto/frasco-pet-ambar-petaca-con-diferentes-tapas-de-250-cc/
Frasco de vidrio diferentes colores roll on 10cc tapa plateada,700,,https://reachem.cl/producto/frasco-de-vidrio-diferentes-colores-roll-on-10cc-tapa-plateada/
Frasco Navideño Diferentes Tamaños,700,850,https://reachem.cl/producto/frasco-tipo-navideno-diferentes-tamanos/
Frasco PET Acinturado Rosado 120cc con Atomizador Blanco/Plata,700,,https://reachem.cl/producto/frasco-pet-aconturado-rosado-con-atomizador-120-cc/
Pote PVC transparente con tapa blanca de 250 gr,730,,https://reachem.cl/producto/pote-pvc-transparente-tapa-blanca-250-gr/
Delineador transparente tapa negra 10cc,750,,https://reachem.cl/producto/delineador-transparente-tapa-negra-10cc/
Bidón pera HDPE 5 lt,750,,https://reachem.cl/producto/bidon-pera-hdpe-5-lt/
Frasco PET triangular azul 24/410 con atomizador 200 cc,750,,https://reachem.cl/producto/frasco-pet-triangular-azul-24-410-con-atomizador-200-cc/
Frasco Esmalte de Vidrio Tipo 666 con Tapa Plateada Corazón 10cc,750,,https://reachem.cl/producto/frasco-esmalte-tipo-666-10-cc-con-tapa-plateada-corazon/
Botella de Vidrio Boston con Tapa Negra,750,980,https://reachem.cl/producto/botella-de-vidrio-ambar-boston-con-tapa-250-cc/
Frasco de vidrio transparente roll on piedras naturales,750,850,https://reachem.cl/producto/frasco-de-vidrio-transparente-roll-on-piedras-naturales/
Frasco vidrio ámbar cuello cónico 100 cc diferentes tapas,750,1000,https://reachem.cl/producto/frasco-vidrio-ambar-cuello-conico-100-cc-diferentes-tapas/
Frasco Cúbico PET Azul 100cc 20/410 con Atomizador Negro y Detalle en Aluminio Plata,790,,https://reachem.cl/producto/frasco-cubico-azul-transparente-100cc-con-atomizador-de-aluminio-plata-negro/
Botella de vidrio celeste base redonda 500cc,800,,https://reachem.cl/producto/botella-de-vidrio-transparente-base-redonda-500cc/
Frasco de Máscara para Pestañas con Pincel Rímel,800,,https://reachem.cl/producto/frasco-mascara-pestanas/
"Tapón de goma cónico sólido rojo # 6 (13×15,5-20)",800,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-6-13x155-20/
Botella de vidrio verde cilíndrica,800,1300,https://reachem.cl/producto/botella-de-vidrio-verde-cilindrica/
Frasco Gotario Base Redonda Blanco 30cc con Pipeta de Aluminio Rosada 18/410,800,,https://reachem.cl/producto/frasco-gotario-base-redonda-blanco-30cc-con-pipeta-de-aluminio-rosada-18-410/
"Tapón de goma cónico sólido gris # 5 (15,5×19,5-24,5)",850,,https://reachem.cl/producto/tapon-de-goma-conico-solido-gris-5-155x195-245/
Frasco farmacéutico de vidrio ámbar 28/410 con bomba negro dorado,850,950,https://reachem.cl/producto/frasco-farmaceutico-de-vidrio-ambar-28-410-con-bomba-negro-dorado/
Frasco PET Satinado Petaca con Atomizador Gris 200 cc,850,,https://reachem.cl/producto/frasco-satinado-pet-200-cc-con-tapa-gris/
Frasco PET Ámbar Rojo Petaca 280cc con Bomba Ala Angosta y Detalle de Aluminio,850,,https://reachem.cl/producto/frasco-pet-ambar-rojo-petaca-280cc-con-bomba-ala-angosta-y-detalle-de-aluminio/
Botella de vidrio transparente estilizada 32/410 750 cc,900,,https://reachem.cl/producto/botella-de-vidrio-transparente-estilizada-32-410-750-cc/
Frasco Tubular Azul Base Catedral con Bomba 35cc,950,,https://reachem.cl/producto/frasco-tubular-azul-35cc/
Frasco Gotario de Vidrio Pintado 30cc,950,,https://reachem.cl/producto/frasco-gotario-de-vidrio-pintado-30cc/
Frasco perfumero metálico dorado mate diferentes tamaños,950,1200,https://reachem.cl/producto/frasco-perfumero-metalico-dorado-mate-diferentes-tamanos/
Frasco PET con Bomba Espumadora de 100 y 200 gr,1000,1200,https://reachem.cl/producto/frasco-pet-con-bomba-espumadora-300-cc/
Goma guar grado alimenticio,1000,13900,https://reachem.cl/producto/goma-guar/
Gatillo Reforzado Especial 28/400 (Negro o Blanco),1000,,https://reachem.cl/producto/gatillo-reforzado-especial-28-400-negro-o-blanco/
"Tapón de goma cónico sólido rojo # 7 (13×18,5-21,5)",1100,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-7-13x185-215/
Frasco Desodorante PP Natural 50cc,1100,,https://reachem.cl/producto/frasco-desodorante-pp-natural-50g/
Botella Pilfer 1 lt con Bomba,1250,,https://reachem.cl/producto/botella-pilfer-1-lt-con-bomba/
Frasco Airless Transparente Diferentes Tamaños,1250,1400,https://reachem.cl/producto/frasco-airless-transparente-diferentes-tamanos/
Frasco perfumero rellenable o ladrón 5cc,1400,,https://reachem.cl/producto/frasco-perfumero-rellenable-o-ladron-5cc/
Tapón de goma cónico sólido negro # 4 (11×14-15),1500,,https://reachem.cl/producto/tapon-de-goma-conico-solido-negro-4-11x14-15/
Alcuza de vidrio con diferentes medidas,1500,2500,https://reachem.cl/producto/alcuza-de-vidrio-con-diferentes-medidas/
Frasco perfumero aluminio rosado 8cc,1500,,https://reachem.cl/producto/frasco-perfumero-aluminio-rosado-8cc/
Goma xantana grado alimenticio,1500,12500,https://reachem.cl/producto/goma-xantana/
Frasco Perfumero con Atomizador Metálico Dorado con Rosado 8 ml,1500,,https://reachem.cl/producto/frasco-perfumero-con-atomizador-metalico-dorado-con-rosado-8-ml/
Frasco farmacéutico de vidrio ámbar 28/410 con gatillo negro curvo,1550,,https://reachem.cl/producto/frasco-farmaceutico-de-vidrio-ambar-28-410-con-gatillo-negro-curvo/
Botella de vidrio transparente base redonda 1 lt,1600,,https://reachem.cl/producto/botella-de-vidrio-transparente-base-redonda-1lt/
Botella de vidrio con tapa lechera 1 lt,1600,,https://reachem.cl/producto/botella-vidrio-tapa-lechera-1-lt/
Tapón de goma cónico perforado # 1 (13×16-20),1600,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-1-13x16-20/
"Tapón de goma cónico sólido rojo # 8 (17×21,5-23,5)",1600,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-8-17x215-235/
Frasco PET cónico impreso bamboo con bomba espumadora 50cc,1600,,https://reachem.cl/producto/frasco-pet-conico-bamboo-con-bomba-50cca-cantimplora-plateada-copia/
Botella de Vidrio Boston con Bomba Negra y Dorada,1650,1750,https://reachem.cl/producto/botella-de-vidrio-transparente-boston-250-ml-con-bomba-negro-y-dorado/
Botella de vidrio ámbar con alternativa de tapas,1650,2500,https://reachem.cl/producto/botella-de-vidrio-ambar-con-alternativa-de-tapas/
Talquera con atomizador 140 cc,1700,,https://reachem.cl/producto/talquera-atomizador-140cc/
Frasco PET Satinado con Cuchara 200gr,1700,,https://reachem.cl/producto/frasco-con-cuchara-200gr/
Bolsa doypack pequeña de papel kraft con ventanilla 12×20 (250gr) 10 unidades,1750,,https://reachem.cl/producto/bolsa-doypack-pequena-de-papel-kraft-con-ventanilla-12x20-250gr-10-unidades/
Botella de Vidrio Boston con Gatillo Negro,1750,1800,https://reachem.cl/producto/botella-de-vidrio-transparente-boston-250-ml-con-gatillo-negro/
Piseta plástica,1750,3900,https://reachem.cl/producto/piseta-plastica/
Tapón de goma cónico perforado # 2 (13×19-22),1800,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-2-13x19-22/
Tapón de goma cónico sólido rojo # 9 (16×22-23),1800,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-9-16x22-23/
Frasco Difusor Mikado  Vidrio Transparente 100 ml,1800,,https://reachem.cl/producto/frasco-mikado-vidrio-transparente-con-inserto-de-aluminio-con-vara-100-ml/
Frasco Difusor Mikado Vidrio Barril 100 ml,1800,2200,https://reachem.cl/producto/frasco-difusor-mikado-vidrio-barril-100-ml/
Frasco de bamboo roll on,1990,2790,https://reachem.cl/producto/frasco-de-amboo-roll-on/
Tapón de goma cónico perforado # 3 (17×22-25),2000,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-3-17x22-25/
"Tapón de goma cónico sólido amarillo # 3 (8,5×10,5-16,5)",2000,,https://reachem.cl/producto/tapon-de-goma-conico-solido-amarillo-3-85x105-165/
"Tapón de goma cónico sólido rojo # 22 (9,5×12,5-17,5)",2200,,https://reachem.cl/producto/tapon-goma-solido/
Tapón de goma cónico sólido rojo # 10 (21×25-32),2200,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-19-21x25-32/
Goma arábiga (acacia) grado alimenticio,2200,24500,https://reachem.cl/producto/goma-arabiga-acacia-grado-alimenticio/
Tapón de goma cónico perforado # 4 (17×24-24),2300,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-4-17x24-24/
Bolsa doypack mediana de papel kraft con ventanilla 16×26 (500gr) 10 unidades,2460,,https://reachem.cl/producto/bolsa-doypack-mediana-de-papel-kraft-con-ventanilla-16x26-500gr-10-unidades/
Tapón de goma cónico sólido rojo # 11 (26×30-32),2500,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-11-26x30-32/
Frasco de vidrio perfumero redondo con bomba vintage 100 cc,2800,,https://reachem.cl/producto/frasco-de-vidrio-perfumero-redondo-con-bomba-vintage-100-cc/
"Tapón de goma cónico sólido rojo # 13 (26×31,5-35)",2900,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-13-26x315-35-copia/
Goma laca,3000,38500,https://reachem.cl/producto/goma-laca/
Tapón de goma cónico perforado # 5 (20×26-32),3200,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-5-20x26-32/
"Tapón de goma cónico sólido rojo # 17 (31×40-38,5)",3300,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-17-31x40-385/
Bolsa doypack grande de papel kraft con ventanilla 20×30 (1 Kg) 10 unidades,3360,,https://reachem.cl/producto/bolsa-doypack-grande-de-papel-kraft-con-ventanilla-20x30-1-kg-10-unidades/
Tapón de goma cónico sólido rojo # 18 (34×40-42),3500,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-18-34x40-42/
"Tapón de goma cónico sólido rojo # 19 (43×52,5-43,5)",3900,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-19-43x525-435/
Copal blanco 50 gr,3900,,https://reachem.cl/producto/copal-blanco-50-gr/
Caja magnética diferentes tamaños y colores,3900,8900,https://reachem.cl/producto/caja-magnetica-diferentes-tamanos-y-colores/
Tintura de benjui,3900,37900,https://reachem.cl/producto/tintura-de-benjui/
Tapón de goma cónico perforado # 6 (24×28-32),4000,,https://reachem.cl/producto/tapon-de-goma-conico-perforado-6-24x28-32/
"Tapón de goma cónico sólido rojo # 20 (44×58-46,5)",4300,,https://reachem.cl/producto/tapon-de-goma-conico-solido-rojo-20-44x58-465/
Tapón de goma cónico perforado # 7 (26×32-35),4500,,https://reachem.cl/producto/tapon-goma-perforado/
Frasco Químico de Vidrio Graduado Transparente Tapa Azul Calidad A,5900,16500,https://reachem.cl/producto/frasco-quimico-de-vidrio-graduado-transparente-tapa-azul-calidad-a-60-ml/
Benjui en polvo (incienso negro),6500,69900,https://reachem.cl/producto/benjui-en-polvo-incienso-negro/
Almizcle artificial para quemar,8000,79000,https://reachem.cl/producto/almizcle-artificial-para-quemar/
Frasco químico de vidrio graduado ámbar tapa azul diferentes tamaños,13900,30000,https://reachem.cl/producto/frasco-quimico-de-vidrio-graduado-ambar-tapa-azul-diferentes-tamanos/
Luviskol PVP K30 1 Kg,25000,,https://reachem.cl/producto/luviskol-pvp-k30-1-kg/
Copal blanco 250 gr,28000,,https://reachem.cl/producto/copal-blanco-250-gr/
